+---------------------------------------------------------------------+---------+----------+
|                                                                     |   axis  |  class   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_16.tif | (24,16) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_17.tif | (24,17) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_18.tif | (24,18) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_19.tif | (24,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_2.tif |  (24,2) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_20.tif | (24,20) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_21.tif | (24,21) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_22.tif | (24,22) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_23.tif | (24,23) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_24.tif | (24,24) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_25.tif | (24,25) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_26.tif | (24,26) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_27.tif | (24,27) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_28.tif | (24,28) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_29.tif | (24,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_3.tif |  (24,3) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_30.tif | (24,30) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_31.tif | (24,31) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_4.tif |  (24,4) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_5.tif |  (24,5) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_6.tif |  (24,6) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_7.tif |  (24,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_8.tif |  (24,8) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_9.tif |  (24,9) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_0.tif |  (25,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_1.tif |  (25,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_10.tif | (25,10) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_11.tif | (25,11) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_12.tif | (25,12) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_13.tif | (25,13) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_14.tif | (25,14) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_15.tif | (25,15) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_16.tif | (25,16) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_17.tif | (25,17) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_18.tif | (25,18) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_19.tif | (25,19) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_2.tif |  (25,2) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_20.tif | (25,20) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_21.tif | (25,21) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_22.tif | (25,22) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_23.tif | (25,23) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_24.tif | (25,24) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_25.tif | (25,25) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_26.tif | (25,26) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_27.tif | (25,27) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_28.tif | (25,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_29.tif | (25,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_3.tif |  (25,3) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_30.tif | (25,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_31.tif | (25,31) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_4.tif |  (25,4) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_5.tif |  (25,5) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_6.tif |  (25,6) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_7.tif |  (25,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_8.tif |  (25,8) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_25_9.tif |  (25,9) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_0.tif |  (26,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_1.tif |  (26,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_10.tif | (26,10) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_11.tif | (26,11) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_12.tif | (26,12) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_13.tif | (26,13) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_14.tif | (26,14) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_15.tif | (26,15) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_16.tif | (26,16) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_17.tif | (26,17) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_18.tif | (26,18) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_19.tif | (26,19) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_2.tif |  (26,2) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_20.tif | (26,20) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_21.tif | (26,21) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_22.tif | (26,22) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_23.tif | (26,23) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_24.tif | (26,24) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_25.tif | (26,25) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_26.tif | (26,26) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_27.tif | (26,27) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_28.tif | (26,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_29.tif | (26,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_3.tif |  (26,3) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_30.tif | (26,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_31.tif | (26,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_4.tif |  (26,4) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_5.tif |  (26,5) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_6.tif |  (26,6) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_7.tif |  (26,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_8.tif |  (26,8) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_26_9.tif |  (26,9) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_0.tif |  (27,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_1.tif |  (27,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_10.tif | (27,10) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_11.tif | (27,11) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_12.tif | (27,12) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_13.tif | (27,13) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_14.tif | (27,14) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_15.tif | (27,15) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_16.tif | (27,16) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_17.tif | (27,17) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_18.tif | (27,18) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_19.tif | (27,19) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_2.tif |  (27,2) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_20.tif | (27,20) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_21.tif | (27,21) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_22.tif | (27,22) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_23.tif | (27,23) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_24.tif | (27,24) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_25.tif | (27,25) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_26.tif | (27,26) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_27.tif | (27,27) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_28.tif | (27,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_29.tif | (27,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_3.tif |  (27,3) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_30.tif | (27,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_31.tif | (27,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_4.tif |  (27,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_5.tif |  (27,5) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_6.tif |  (27,6) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_7.tif |  (27,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_8.tif |  (27,8) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_27_9.tif |  (27,9) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_0.tif |  (28,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_1.tif |  (28,1) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_10.tif | (28,10) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_11.tif | (28,11) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_12.tif | (28,12) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_13.tif | (28,13) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_14.tif | (28,14) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_15.tif | (28,15) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_16.tif | (28,16) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_17.tif | (28,17) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_18.tif | (28,18) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_19.tif | (28,19) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_2.tif |  (28,2) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_20.tif | (28,20) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_21.tif | (28,21) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_22.tif | (28,22) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_23.tif | (28,23) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_24.tif | (28,24) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_25.tif | (28,25) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_26.tif | (28,26) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_27.tif | (28,27) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_28.tif | (28,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_29.tif | (28,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_3.tif |  (28,3) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_30.tif | (28,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_31.tif | (28,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_4.tif |  (28,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_5.tif |  (28,5) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_6.tif |  (28,6) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_7.tif |  (28,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_8.tif |  (28,8) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_28_9.tif |  (28,9) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_0.tif |  (29,0) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_1.tif |  (29,1) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_10.tif | (29,10) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_11.tif | (29,11) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_12.tif | (29,12) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_13.tif | (29,13) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_14.tif | (29,14) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_15.tif | (29,15) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_16.tif | (29,16) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_17.tif | (29,17) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_18.tif | (29,18) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_19.tif | (29,19) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_2.tif |  (29,2) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_20.tif | (29,20) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_21.tif | (29,21) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_22.tif | (29,22) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_23.tif | (29,23) |  forest  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_24.tif | (29,24) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_25.tif | (29,25) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_26.tif | (29,26) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_27.tif | (29,27) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_28.tif | (29,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_29.tif | (29,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_3.tif |  (29,3) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_30.tif | (29,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_31.tif | (29,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_4.tif |  (29,4) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_5.tif |  (29,5) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_6.tif |  (29,6) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_7.tif |  (29,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_8.tif |  (29,8) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_29_9.tif |  (29,9) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_0.tif  |  (2,0)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_1.tif  |  (2,1)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_10.tif |  (2,10) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_11.tif |  (2,11) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_12.tif |  (2,12) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_13.tif |  (2,13) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_14.tif |  (2,14) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_15.tif |  (2,15) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_16.tif |  (2,16) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_17.tif |  (2,17) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_18.tif |  (2,18) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_19.tif |  (2,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_2.tif  |  (2,2)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_20.tif |  (2,20) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_21.tif |  (2,21) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_22.tif |  (2,22) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_23.tif |  (2,23) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_24.tif |  (2,24) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_25.tif |  (2,25) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_26.tif |  (2,26) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_27.tif |  (2,27) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_28.tif |  (2,28) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_29.tif |  (2,29) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_3.tif  |  (2,3)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_30.tif |  (2,30) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_31.tif |  (2,31) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_4.tif  |  (2,4)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_5.tif  |  (2,5)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_6.tif  |  (2,6)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_7.tif  |  (2,7)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_8.tif  |  (2,8)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_2_9.tif  |  (2,9)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_0.tif  |  (3,0)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_1.tif  |  (3,1)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_10.tif |  (3,10) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_11.tif |  (3,11) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_12.tif |  (3,12) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_13.tif |  (3,13) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_14.tif |  (3,14) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_15.tif |  (3,15) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_16.tif |  (3,16) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_17.tif |  (3,17) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_18.tif |  (3,18) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_19.tif |  (3,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_2.tif  |  (3,2)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_20.tif |  (3,20) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_21.tif |  (3,21) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_22.tif |  (3,22) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_23.tif |  (3,23) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_24.tif |  (3,24) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_25.tif |  (3,25) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_26.tif |  (3,26) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_27.tif |  (3,27) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_28.tif |  (3,28) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_29.tif |  (3,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_3.tif  |  (3,3)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_30.tif |  (3,30) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_31.tif |  (3,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_4.tif  |  (3,4)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_5.tif  |  (3,5)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_6.tif  |  (3,6)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_7.tif  |  (3,7)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_8.tif  |  (3,8)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_3_9.tif  |  (3,9)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_0.tif  |  (4,0)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_1.tif  |  (4,1)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_10.tif |  (4,10) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_11.tif |  (4,11) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_12.tif |  (4,12) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_13.tif |  (4,13) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_14.tif |  (4,14) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_15.tif |  (4,15) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_16.tif |  (4,16) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_17.tif |  (4,17) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_18.tif |  (4,18) |  meadow  |
